City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.93,74,22,14.32,Clouds
1,Geraldton,AU,-28.7667,114.6,57.61,51,0,16.11,Clear
2,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,73,0,6.91,Clear
3,Jacareacanga,BR,-6.2222,-57.7528,75.27,95,56,2.84,Rain
4,Hobart,AU,-42.8794,147.3294,52.02,87,75,10.36,Clouds
5,Nikolskoye,RU,59.7035,30.7861,49.89,97,18,5.59,Clouds
6,Yulara,AU,-25.2406,130.9889,48.04,57,0,9.22,Clear
7,Tasiilaq,GL,65.6145,-37.6368,26.76,66,8,4.05,Clear
8,Kruisfontein,ZA,-34.0033,24.7314,59.81,83,96,11.14,Clouds
9,Upata,VE,8.0086,-62.3989,75.2,88,90,6.29,Clouds
10,Qaanaaq,GL,77.484,-69.3632,17.13,85,100,5.86,Clouds
11,Kapaa,US,22.0752,-159.319,82.38,80,40,16.11,Clouds
12,Corinto,GR,37.9407,22.9573,59.9,71,86,3.87,Clouds
13,Merauke,ID,-8.4667,140.3333,79.56,87,59,12.95,Clouds
14,Rikitea,PF,-23.1203,-134.9692,77.43,85,87,14.85,Rain
15,Bluff,NZ,-46.6,168.3333,57.79,81,99,9.69,Clouds
16,Busselton,AU,-33.65,115.3333,55.36,61,0,7.74,Clear
17,Yellowknife,CA,62.456,-114.3525,54.12,50,75,21.85,Clouds
18,Mahibadhoo,MV,3.7833,72.9667,84.18,75,49,12.01,Clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,Snow
20,Necochea,AR,-38.5473,-58.7368,57.09,75,23,5.03,Clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,74.73,85,99,9.22,Clouds
22,San Patricio,US,28.017,-97.5169,93.92,57,1,17.27,Clear
23,Portland,US,45.5234,-122.6762,60.84,85,75,8.05,Rain
24,Yantal,RU,56.8471,105.2542,41.58,60,63,5.01,Clouds
25,Belaya Gora,RU,68.5333,146.4167,27.93,92,95,1.32,Clouds
26,Khatanga,RU,71.9667,102.5,11.95,89,100,19.24,Clouds
27,Bambous Virieux,MU,-20.3428,57.7575,75.45,64,20,9.22,Clouds
28,Pangnirtung,CA,66.1451,-65.7125,13.93,98,97,1.54,Clouds
29,Perry,US,37.2506,-83.1999,61.52,94,98,4.59,Rain
30,Cape Town,ZA,-33.9258,18.4232,57.61,89,75,17.27,Clouds
31,Fort Frances,CA,48.5999,-93.4003,73.17,27,0,12.66,Clear
32,Ushuaia,AR,-54.8,-68.3,44.26,61,40,14.97,Clouds
33,Mataura,NZ,-46.1927,168.8643,57.47,71,98,3.53,Clouds
34,Kenai,US,60.5544,-151.2583,56.03,57,40,11.5,Clouds
35,Soria,ES,41.6667,-2.6667,46.85,94,0,3.62,Clear
36,Bethel,US,41.3712,-73.414,54.91,90,100,5.26,Rain
37,Isangel,VU,-19.55,169.2667,78.6,69,58,16.44,Clouds
38,Tokur,RU,53.1333,132.9,31.19,94,100,0.56,Snow
39,Charters Towers,AU,-20.1,146.2667,76.03,72,26,7.96,Clouds
40,Hilo,US,19.7297,-155.09,82.27,88,100,8.05,Rain
41,East London,ZA,-33.0153,27.9116,67.73,77,96,12.75,Clouds
42,Tiksi,RU,71.6872,128.8694,18.7,86,98,22.17,Clouds
43,Sinegorye,RU,62.0788,150.477,26.69,86,72,4.92,Clouds
44,Juneau,US,58.3019,-134.4197,46.98,91,75,10.36,Rain
45,Sangar,RU,63.9242,127.4739,28.67,88,76,1.28,Clouds
46,Ponta Do Sol,PT,32.6667,-17.1,68.63,58,60,4.27,Clouds
47,Port Alfred,ZA,-33.5906,26.891,64.18,85,92,1.99,Clouds
48,Esmeraldas,BR,-19.7625,-44.3139,72.46,75,62,5.1,Clouds
49,Albany,US,42.6001,-73.9662,58.93,66,100,2.98,Clouds
50,Grindavik,IS,63.8424,-22.4338,39.67,87,75,9.22,Clouds
51,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,40,16.11,Clouds
52,Souillac,MU,-20.5167,57.5167,75.58,64,20,9.22,Clouds
53,New Norfolk,AU,-42.7826,147.0587,51.66,76,100,5.01,Rain
54,Klaksvik,FO,62.2266,-6.589,34.72,62,66,9.89,Clouds
55,Rapid Valley,US,44.0625,-103.1463,74.71,47,75,11.5,Clouds
56,Saint Anthony,US,45.0205,-93.218,71.96,24,0,11.5,Clear
57,Tazovskiy,RU,67.4667,78.7,7.88,100,90,9.17,Clouds
58,Port Macquarie,AU,-31.4333,152.9167,62.89,74,79,4.92,Clouds
59,Kodiak,US,57.79,-152.4072,45.91,71,100,10.36,Clouds
60,Itoman,JP,26.1247,127.6694,77.02,88,75,12.66,Clouds
61,Castro,BR,-24.7911,-50.0119,54.7,91,7,3.15,Clear
62,Poya,NC,-21.35,165.15,78.4,64,0,5.68,Clear
63,Saldanha,ZA,-33.0117,17.9442,53.65,84,55,18.77,Clouds
64,Pisco,PE,-13.7,-76.2167,68.05,77,0,12.66,Clear
65,Miyako,JP,39.6367,141.9525,62.1,58,0,12.28,Clear
66,Bandarbeyla,SO,9.4942,50.8122,81.0,90,40,8.12,Clouds
67,Inta,RU,66.0317,60.1659,21.94,83,48,7.76,Clouds
68,Broome,US,42.2506,-75.833,56.17,79,100,6.91,Clouds
69,Hithadhoo,MV,-0.6,73.0833,83.39,76,82,15.37,Clouds
70,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,10.36,Rain
71,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,12.66,Clouds
72,Severo-Kurilsk,RU,50.6789,156.125,42.48,85,78,8.03,Clouds
73,Novaya Zaimka,RU,56.4857,66.9241,32.05,71,1,9.98,Clear
74,Kuandian,CN,40.7286,124.7847,50.11,41,1,6.82,Clear
75,Kavaratti,IN,10.5669,72.642,84.99,68,95,11.72,Clouds
76,Nenjiang,CN,49.1833,125.2167,44.65,33,71,10.49,Clouds
77,Vaini,TO,-21.2,-175.2,78.96,78,40,10.36,Clouds
78,Gamba,GA,-2.65,10.0,77.49,92,100,6.22,Rain
79,Camacha,PT,33.0833,-16.3333,60.22,77,20,3.44,Clouds
80,Zhirnov,RU,48.1709,41.1261,41.59,52,65,9.8,Clouds
81,Ancud,CL,-41.8697,-73.8203,52.18,91,100,9.93,Clouds
82,Barrow,US,71.2906,-156.7887,21.22,86,100,11.5,Clouds
83,Esperance,AU,-33.8667,121.9,53.33,81,0,12.03,Clear
84,Torbay,CA,47.6666,-52.7314,36.75,92,100,12.66,Snow
85,Martapura,ID,-3.4167,114.85,77.09,100,61,4.61,Clouds
86,Hami,CN,42.8,93.45,68.34,41,100,9.37,Clouds
87,Kavieng,PG,-2.5744,150.7967,84.88,71,80,14.47,Clouds
88,Hermanus,ZA,-34.4187,19.2345,54.81,86,100,9.31,Rain
89,Mar Del Plata,AR,-38.0023,-57.5575,59.88,93,42,1.99,Fog
90,Tuusula,FI,60.4037,25.0264,45.75,83,20,6.91,Clouds
91,Teguise,ES,29.0605,-13.564,62.82,82,20,11.5,Clouds
92,Kahului,US,20.8947,-156.47,84.22,65,40,26.46,Clouds
93,Avarua,CK,-21.2078,-159.775,84.25,74,5,6.91,Clear
94,Nemuro,JP,43.3236,145.575,45.91,92,51,16.75,Clouds
95,Meulaboh,ID,4.1363,96.1285,76.51,88,100,4.09,Rain
96,Vanavara,RU,60.34,102.2797,37.26,80,45,2.77,Clouds
97,Mahebourg,MU,-20.4081,57.7,75.49,64,20,9.22,Clouds
98,Guerrero Negro,MX,27.9769,-114.0611,69.21,62,3,18.57,Clear
99,Namibe,AO,-15.1961,12.1522,74.75,68,0,3.09,Clear
100,Quatre Cocos,MU,-20.2078,57.7625,75.31,70,94,14.9,Clouds
101,Airai,TL,-8.9266,125.4092,63.59,85,17,3.8,Clouds
102,Bredasdorp,ZA,-34.5322,20.0403,56.16,90,100,2.82,Rain
103,Alekseyevsk,RU,57.8406,108.3492,38.77,64,91,3.22,Clouds
104,Burnie,AU,-41.0667,145.9167,49.95,89,77,14.99,Rain
105,Cugir,RO,45.8333,23.3667,52.18,79,99,4.59,Clouds
106,Nome,US,64.5011,-165.4064,36.16,86,100,12.66,Clouds
107,Malanje,AO,-9.5402,16.341,65.48,82,87,1.34,Clouds
108,Boone,US,39.0334,-92.3335,67.39,59,100,10.54,Clouds
109,Roebourne,AU,-20.7833,117.1333,74.5,47,4,18.9,Clear
110,Kapit,MY,2.0167,112.9333,75.11,100,100,0.94,Clouds
111,Cabedelo,BR,-6.9811,-34.8339,77.67,84,27,12.93,Rain
112,Port Elizabeth,ZA,-33.918,25.5701,62.31,85,0,8.01,Clear
113,Nara,JP,34.6851,135.8049,68.97,52,7,3.27,Clear
114,Fukue,JP,32.6881,128.8419,68.36,94,75,2.3,Clouds
115,Qarchi Gak,AF,37.04,66.7889,77.38,39,7,11.83,Clear
116,Tongren,CN,27.7172,109.1853,67.19,90,91,0.85,Clouds
117,Salaga,GH,8.5508,-0.5188,78.87,75,100,6.17,Clouds
118,Tuatapere,NZ,-46.1333,167.6833,59.9,81,100,6.93,Clouds
119,Saint George,US,37.1041,-113.5841,92.79,10,0,11.5,Clear
120,Talnakh,RU,69.4865,88.3972,7.45,95,99,2.55,Clouds
121,Qarqin,AF,37.4185,66.0436,80.96,32,7,11.63,Clear
122,Zapolyarnyy,RU,69.4154,30.8136,38.48,98,100,15.05,Clouds
123,Xingyi,CN,24.1877,102.817,55.56,90,23,1.79,Clouds
124,Praia,CV,14.9215,-23.5087,72.14,78,0,11.5,Clear
125,Bourail,NC,-21.5667,165.4833,77.47,63,0,5.39,Clear
126,Novyy Svit,UA,47.8059,38.0211,43.12,52,75,9.78,Clouds
127,Hamilton,US,39.1834,-84.5333,64.24,94,100,10.36,Thunderstorm
128,Haines Junction,CA,60.7522,-137.5108,49.95,27,87,8.05,Clouds
129,Mogadishu,SO,2.0371,45.3438,81.59,80,39,14.32,Clouds
130,Dingle,PH,10.9995,122.6711,81.36,82,30,8.86,Clouds
131,Matadi,CD,-5.8167,13.45,75.56,97,94,3.27,Rain
132,Provideniya,RU,64.3833,-173.3,34.23,70,12,7.43,Clouds
133,Kandrian,PG,-6.2167,149.55,83.73,78,57,5.55,Clouds
134,Aklavik,CA,68.2191,-135.0107,33.8,64,75,0.0,Clouds
135,Shahr-E Kord,IR,32.3256,50.8644,38.97,87,40,2.3,Clouds
136,Victoria,HK,22.2855,114.1577,77.38,83,100,8.16,Rain
137,Cockburn Town,TC,21.4612,-71.1419,78.76,73,40,11.5,Clouds
138,Batagay-Alyta,RU,67.8006,130.4114,21.81,70,58,5.41,Clouds
139,Dodge City,US,37.7528,-100.0171,83.93,29,0,12.66,Clear
140,Cherskiy,RU,68.75,161.3,32.74,100,100,4.74,Clouds
141,Kutum,SD,14.2,24.6667,75.2,16,65,10.4,Clouds
142,Yaan,NG,7.3833,8.5667,76.66,80,89,4.61,Clouds
143,Baft,IR,29.234,56.6057,57.69,35,35,2.62,Clouds
144,Saskylakh,RU,71.9167,114.0833,15.91,87,85,19.93,Clouds
145,Kaitangata,NZ,-46.2817,169.8464,59.5,69,87,4.12,Clouds
146,Swan Hill,AU,-35.3378,143.5544,51.62,67,29,10.56,Clouds
147,Makakilo City,US,21.3469,-158.0858,77.32,67,100,18.41,Clouds
148,Lagoa,PT,39.05,-27.9833,60.3,72,5,5.03,Clear
149,Kunfeherto,HU,46.3609,19.4145,57.49,67,97,7.29,Clouds
150,Gushikawa,JP,26.3544,127.8686,76.23,94,75,14.97,Clouds
151,Homer,US,59.6425,-151.5483,49.89,60,0,12.66,Clear
152,Kuznetsk,RU,53.1167,46.6004,35.26,60,1,2.26,Clear
153,Rio Gallegos,AR,-51.6226,-69.2181,48.25,71,75,18.41,Rain
154,Upernavik,GL,72.7868,-56.1549,10.04,84,1,6.15,Clear
155,Husavik,IS,66.0449,-17.3389,33.12,74,64,8.08,Clouds
156,Beyneu,KZ,45.3167,55.2,59.36,54,62,20.74,Rain
157,Chokurdakh,RU,70.6333,147.9167,22.75,90,100,3.83,Clouds
158,Jamestown,US,42.097,-79.2353,55.51,82,100,13.8,Clouds
159,Banfora,BF,10.6333,-4.7667,88.07,40,81,4.7,Clouds
160,Fortuna,US,40.5982,-124.1573,61.72,81,100,6.91,Rain
161,Cayenne,GF,4.9333,-52.3333,78.1,1,75,2.3,Clouds
162,Touros,BR,-5.1989,-35.4608,77.74,90,72,11.74,Clouds
163,Hobyo,SO,5.3505,48.5268,82.2,84,28,19.17,Clouds
164,Hasaki,JP,35.7333,140.8333,66.6,81,99,12.3,Clouds
165,Constitucion,CL,-35.3333,-72.4167,55.87,79,1,12.06,Clear
166,Abu Samrah,SY,35.3029,37.1841,55.98,67,95,13.02,Clouds
167,Ibra,OM,22.6906,58.5334,74.88,67,0,1.14,Clear
168,Maltahohe,NA,-24.8333,16.9833,55.87,43,0,10.02,Clear
169,Presidente Epitacio,BR,-21.7633,-52.1156,66.67,71,0,8.97,Clear
170,Luderitz,NA,-26.6481,15.1594,56.86,86,2,13.24,Clear
171,Gazli,UZ,40.1333,63.45,79.66,29,62,9.42,Clouds
172,Taoudenni,ML,22.6783,-3.9836,88.84,12,2,11.36,Clear
173,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,47,15.01,Rain
174,Vardo,NO,70.3705,31.1107,39.16,94,99,13.58,Clouds
175,San Cristobal,VE,7.7669,-72.225,68.18,97,86,3.15,Clouds
176,Jishou,CN,28.3167,109.7167,68.68,91,90,0.87,Clouds
177,Nicoya,CR,10.1483,-85.452,82.87,71,85,1.14,Clouds
178,Igarka,RU,67.4667,86.5833,19.18,86,100,14.41,Clouds
179,Novo Aripuana,BR,-5.1206,-60.3797,75.34,96,98,2.13,Clouds
180,Mehamn,NO,71.0357,27.8492,38.55,85,100,7.61,Rain
181,Cidreira,BR,-30.1811,-50.2056,63.1,67,60,1.9,Clouds
182,Kousseri,CM,12.0769,15.0306,95.34,23,53,4.0,Clouds
183,Kyra,RU,49.5776,111.9753,39.16,38,95,5.14,Clouds
184,Devgarh,IN,25.5333,73.9,81.64,24,60,10.02,Clouds
185,Jalu,LY,29.0331,21.5482,75.47,22,98,15.93,Clouds
186,Glenwood Springs,US,39.5505,-107.3248,76.12,34,0,13.8,Clear
187,Igmaya-An,PH,10.5499,123.2206,74.41,87,15,6.08,Clouds
188,Carnarvon,AU,-24.8667,113.6333,57.27,67,40,8.05,Clouds
189,Opuwo,NA,-18.0607,13.84,61.74,41,0,2.95,Clear
190,Ayr,GB,55.4627,-4.6339,51.78,87,40,9.22,Clouds
191,Simoes,BR,-7.5989,-40.8178,77.25,40,6,6.11,Clear
192,Padang,ID,-0.9492,100.3543,76.41,92,100,3.76,Rain
193,Mitsamiouli,KM,-11.3847,43.2844,80.33,73,11,7.83,Clouds
194,Beringovskiy,RU,63.05,179.3167,32.38,88,100,5.7,Clouds
195,Gejiu,CN,23.306,103.1635,52.38,94,94,1.52,Clouds
196,Chuy,UY,-33.6971,-53.4616,58.24,83,0,0.85,Clear
197,Port Lincoln,AU,-34.7333,135.8667,54.43,67,25,7.45,Clouds
198,Buenos Aires,AR,-34.6132,-58.3772,67.73,87,0,2.3,Clear
199,Muroto,JP,33.2833,134.15,65.55,75,2,4.59,Clear
200,Salalah,OM,17.0151,54.0924,82.49,83,20,2.3,Clouds
201,Kashin,RU,57.3592,37.6081,45.66,73,66,6.31,Clouds
202,Lochmaben,GB,55.1301,-3.4429,44.65,92,5,5.73,Clear
203,Vestmannaeyjar,IS,63.4427,-20.2734,41.23,64,60,14.41,Clouds
204,Khorinsk,RU,52.1657,109.7726,41.79,26,96,1.99,Clouds
205,San Policarpo,PH,12.1791,125.5072,82.2,81,25,12.48,Clouds
206,Mareeba,AU,-17.0,145.4333,77.43,82,93,3.98,Clouds
207,Inverell,AU,-29.7833,151.1167,56.66,73,80,1.63,Clouds
208,Goderich,CA,43.7501,-81.7165,62.92,39,84,13.8,Clouds
209,Coihaique,CL,-45.5752,-72.0662,50.61,76,75,8.05,Clouds
210,Bom Despacho,BR,-19.7364,-45.2522,70.14,61,55,5.5,Clouds
211,Faanui,PF,-16.4833,-151.75,81.59,73,2,4.23,Clear
212,La Tuque,CA,47.4334,-72.7824,48.45,25,30,8.05,Clouds
213,Staroutkinsk,RU,57.2302,59.3348,26.96,92,25,3.69,Clouds
214,Bismarck,US,46.8083,-100.7837,75.65,45,0,19.57,Clear
215,Dvorichna,UA,49.8496,37.6857,41.63,64,1,6.06,Clear
216,Mwene-Ditu,CD,-7.0,23.45,68.54,85,97,2.8,Rain
217,Butaritari,KI,3.0707,172.7902,81.75,72,98,11.88,Clouds
218,Fairbanks,US,64.8378,-147.7164,53.94,60,100,18.41,Clouds
219,San Andres,CO,12.5847,-81.7006,82.42,89,40,6.91,Clouds
220,Norman Wells,CA,65.282,-126.8329,42.84,52,100,5.75,Clouds
221,Taga,RO,46.95,24.05,50.32,82,83,2.82,Clouds
222,Bushehr,IR,28.9684,50.8385,87.89,29,40,11.5,Clouds
223,Lorengau,PG,-2.0226,147.2712,84.92,74,87,10.07,Clouds
224,Kloulklubed,PW,7.0419,134.2556,79.3,79,82,16.49,Clouds
225,Marsa Matruh,EG,31.3525,27.2453,64.6,72,0,10.36,Clear
226,Henties Bay,NA,-22.116,14.2845,59.27,88,0,11.9,Clear
227,Pietarsaari,FI,63.65,22.6833,46.99,73,75,1.99,Clouds
228,Xai-Xai,MZ,-25.0519,33.6442,66.13,91,0,2.64,Clear
229,Dingli,MT,35.8614,14.3822,60.82,88,20,5.75,Clouds
230,Ribeira Grande,PT,38.5167,-28.7,61.54,65,38,4.59,Clouds
231,La Asuncion,VE,11.0333,-63.8628,78.28,84,100,12.77,Clouds
232,Hayvoron,UA,48.3396,29.8679,46.8,64,68,6.69,Clouds
233,Amapa,BR,1.0,-52.0,73.36,98,100,3.74,Clouds
234,Gao,ML,16.6362,1.637,94.42,15,100,16.71,Clouds
235,Montego Bay,JM,18.4712,-77.9188,83.79,74,20,6.91,Clouds
236,Paamiut,GL,61.994,-49.6678,31.59,97,86,2.08,Clouds
237,Cervo,ES,43.6702,-7.4101,56.97,91,85,12.46,Clouds
238,Lata,PT,40.1629,-8.3327,58.08,75,42,2.73,Clouds
239,Longyearbyen,SJ,78.2186,15.6401,22.84,68,40,2.3,Clouds
240,Najran,SA,17.4924,44.1277,75.85,39,41,3.44,Clouds
241,Yokadouma,CM,3.5167,15.05,74.21,83,100,0.54,Rain
242,Arman,RU,59.7,150.1667,34.02,96,100,9.82,Snow
243,Snihurivka,UA,47.0758,32.8052,45.36,75,32,4.27,Clouds
244,Dikson,RU,73.5069,80.5464,19.38,94,100,13.78,Snow
245,Itau De Minas,BR,-20.7394,-46.7522,62.8,73,0,4.29,Clear
246,Tual,ID,-5.6667,132.75,85.17,71,100,20.4,Clouds
247,Zwedru,LR,6.0667,-8.1281,75.72,95,98,2.98,Rain
248,Sao Filipe,CV,14.8961,-24.4956,73.63,79,1,10.51,Clear
249,Shellbrook,CA,53.2168,-106.4011,60.03,48,54,21.21,Clouds
250,Port Blair,IN,11.6667,92.75,81.36,83,99,12.08,Clouds
251,Pacific Grove,US,36.6177,-121.9166,71.89,79,20,9.22,Clouds
252,Moron,AR,-34.6534,-58.6198,67.75,89,0,4.23,Clear
253,Deputatskiy,RU,69.3,139.9,21.69,91,100,3.87,Clouds
254,Gizo,SB,-8.103,156.8419,84.29,72,93,6.6,Clouds
255,Jumla,NP,29.2747,82.1838,50.36,90,26,2.66,Clouds
256,Plettenberg Bay,ZA,-34.0527,23.3716,59.95,87,90,6.24,Rain
257,Labuhan,ID,-6.8844,112.2051,78.57,89,67,5.32,Clouds
258,Saint-Ambroise,CA,48.5501,-71.3324,44.89,40,87,8.14,Clouds
259,Tommot,RU,58.9564,126.2925,33.24,84,67,6.51,Clouds
260,Nador,MA,35.174,-2.9287,62.85,77,0,2.3,Clear
261,Oderzo,IT,45.7882,12.5019,59.34,92,100,3.22,Clouds
262,Dinan,FR,48.4167,-2.25,51.75,86,100,5.77,Clouds
263,Penon Blanco,MX,24.7897,-104.0369,89.8,9,0,9.75,Clear
264,Nanortalik,GL,60.1432,-45.2371,33.98,99,100,4.05,Snow
265,Codrington,AU,-38.2667,141.9667,52.59,89,80,10.65,Rain
266,Cap Malheureux,MU,-19.9842,57.6142,77.88,69,71,19.71,Clouds
267,Dubrovnik,HR,42.6481,18.0922,60.44,72,100,20.71,Clouds
268,Mayo,US,38.8876,-76.5119,59.67,94,100,10.36,Rain
269,Champerico,GT,14.3,-91.9167,91.94,67,51,8.43,Clouds
270,Sayyan,YE,15.1718,44.3244,62.83,49,1,2.59,Clear
271,Carutapera,BR,-1.195,-46.02,76.3,93,51,7.58,Clouds
272,Haveli,PK,30.4502,73.6989,85.96,24,0,6.96,Clear
273,Katsuura,JP,35.1333,140.3,64.33,80,99,15.86,Clouds
274,Tigil,RU,57.8,158.6667,37.35,97,100,3.09,Clouds
275,Noumea,NC,-22.2763,166.4572,79.0,99,25,14.41,Clouds
276,Ostersund,SE,63.1792,14.6357,42.62,81,75,25.32,Clouds
277,Sibolga,ID,1.7427,98.7792,76.6,95,100,2.8,Rain
278,Zyryanovsk,KZ,49.7386,84.2719,51.91,59,2,2.53,Clear
279,Khvoynaya,RU,58.9,34.5333,40.39,97,37,5.39,Clouds
280,Cabo San Lucas,MX,22.8909,-109.9124,82.71,49,0,10.36,Clear
281,Adre,TD,13.4667,22.2,82.92,14,72,13.4,Clouds
282,Sitka,US,57.0531,-135.33,48.09,61,40,5.75,Clouds
283,Dori,BF,14.0354,-0.0345,96.24,23,99,12.75,Clouds
284,Nurota,UZ,40.5614,65.6886,72.68,46,2,6.11,Clear
285,Shingu,JP,33.7333,135.9833,64.99,79,95,6.96,Clouds
286,Port Hedland,AU,-20.3167,118.5667,71.65,49,0,11.5,Clear
287,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.84,71,27,14.88,Clouds
288,Puertollano,ES,38.6871,-4.1073,60.08,48,10,0.25,Clear
289,Turukhansk,RU,65.8167,87.9833,23.86,94,100,16.96,Snow
290,Fort Nelson,CA,58.8053,-122.7002,53.19,32,100,12.66,Clouds
291,Novoagansk,RU,61.9449,76.6625,22.08,94,100,30.91,Snow
292,Kedgwick,CA,47.6446,-67.3434,38.37,53,94,5.79,Clouds
293,Weligama,LK,5.9667,80.4167,80.11,89,100,9.73,Clouds
